Factors for n=10
4 : 2*2
6 : 2*2
8 : 2*2*4
9 : 3*3
10 : 2*2
12 : 2*2*4
14 : 2*2
15 : 3*3
16 : 2*2*2*8
18 : 2*3*6
20 : 2*2*4
21 : 3*3
22 : 2*2
24 : 2*2*2*8
25 : 5*5
26 : 2*2
27 : 3*3*9
28 : 2*2*4
30 : 2*3*6
32 : 2*2*2*2*16
33 : 3*3
34 : 2*2
35 : 5*5
36 : 2*2*3*12
38 : 2*2
39 : 3*3
40 : 2*2*2*8
42 : 2*3*6
44 : 2*2*4
45 : 3*3*9
46 : 2*2
48 : 2*2*2*2*16
49 : 7*7
50 : 2*5*10
51 : 3*3
52 : 2*2*4
54 : 2*3*3*18
55 : 5*5
56 : 2*2*2*8
57 : 3*3
58 : 2*2
60 : 2*2*3*12
62 : 2*2
63 : 3*3*9
64 : 2*2*2*2*2*32
65 : 5*5
66 : 2*3*6
68 : 2*2*4
69 : 3*3
70 : 2*5*10
72 : 2*2*2*3*24
74 : 2*2
75 : 3*5*15
76 : 2*2*4
77 : 7*7
78 : 2*3*6
80 : 2*2*2*2*16
81 : 3*3*3*27
82 : 2*2
84 : 2*2*3*12
85 : 5*5
86 : 2*2
87 : 3*3
88 : 2*2*2*8
90 : 2*3*3*18
91 : 7*7
92 : 2*2*4
93 : 3*3
94 : 2*2
95 : 5*5
96 : 2*2*2*2*2*32
98 : 2*7*14
99 : 3*3*9
100 : 2*2*5*20
